City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Sainte-Agathe-Des-Monts,CA,46.0501,-74.2825,53.42,94,70,2.33,broken clouds
107,Puerto Ayora,EC,-0.7393,-90.3518,68.72,91,60,5.86,broken clouds
108,Kristinehamn,SE,59.3098,14.1081,60.04,58,0,6.08,clear sky
109,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,20,12.66,few clouds
110,Katsuura,JP,35.1333,140.3,75.18,74,89,19.51,overcast clouds
111,Porto Murtinho,BR,-21.6989,-57.8825,64.89,46,0,4.97,clear sky
112,Touba,CI,8.2833,-7.6833,75.07,86,100,5.21,overcast clouds
113,Bredasdorp,ZA,-34.5322,20.0403,69.28,67,52,3.44,broken clouds
114,Huarmey,PE,-10.0681,-78.1522,62.17,89,68,8.23,broken clouds
115,Mount Isa,AU,-20.7333,139.5,87.57,11,34,10.36,scattered clouds
116,Naze,JP,28.3667,129.4833,77.92,84,28,14.03,scattered clouds
117,Aklavik,CA,68.2191,-135.0107,34.52,96,100,17.11,light snow
118,Namie,JP,37.4833,141.0,66.72,91,100,5.23,overcast clouds
119,Tomatlan,MX,19.9333,-105.25,74.82,94,92,2.84,overcast clouds
120,Jha Jha,IN,24.7667,86.3667,93.92,49,62,3.87,broken clouds
121,Acari,PE,-15.4311,-74.6158,65.71,69,62,1.81,broken clouds
122,Marzuq,YE,14.4,46.4667,90.1,17,94,6.76,overcast clouds
123,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,20.71,broken clouds
124,Kosh-Agach,RU,50.0,88.6667,41.43,26,64,4.14,broken clouds
125,Esperance,AU,-33.8667,121.9,62.44,61,100,19.33,moderate rain
126,Inyonga,TZ,-6.7167,32.0667,86.32,24,66,7.67,broken clouds
127,Maldonado,UY,-34.6667,-54.9167,56.23,85,88,4.34,overcast clouds
128,Araouane,ML,18.9048,-3.5265,94.93,27,6,14.7,clear sky
129,Sulangan,PH,11.1373,123.7228,85.24,70,60,5.32,broken clouds
130,Coihaique,CL,-45.5752,-72.0662,48.15,76,0,2.3,clear sky
131,Saskylakh,RU,71.9167,114.0833,33.8,88,100,15.79,overcast clouds
132,Tahmek,MX,20.8833,-89.2667,75.94,99,34,3.18,scattered clouds
133,Faanui,PF,-16.4833,-151.75,77.22,73,20,7.92,few clouds
134,Cherskiy,RU,68.75,161.3,33.19,98,100,13.8,light snow
135,Padang,ID,-0.9492,100.3543,86.05,79,84,3.09,broken clouds
136,Dabwali,IN,29.95,74.7333,91.51,48,62,2.08,broken clouds
137,Brownsville,US,25.9018,-97.4975,73.9,62,3,6.06,clear sky
138,Fukue,JP,32.6881,128.8419,75.56,70,68,8.28,broken clouds
139,Baykit,RU,61.67,96.37,42.51,60,99,5.5,overcast clouds
140,Vilyuysk,RU,63.7553,121.6247,42.35,59,19,5.73,few clouds
141,Port Elizabeth,ZA,-33.918,25.5701,70.09,56,0,4.61,clear sky
142,Victoria,HK,22.2855,114.1577,89.65,68,0,1.01,clear sky
143,Chabahar,IR,25.2919,60.643,85.32,70,89,11.63,overcast clouds
144,Vestmannaeyjar,IS,63.4427,-20.2734,43.16,83,98,25.72,overcast clouds
145,Vestmanna,FO,62.1564,-7.1664,45.52,100,90,23.02,overcast clouds
146,Moroni,KM,-11.7022,43.2551,81.16,65,6,11.92,clear sky
147,Ornskoldsvik,SE,63.2909,18.7153,49.15,87,100,11.5,overcast clouds
148,Chokurdakh,RU,70.6333,147.9167,32.4,97,100,15.41,light snow
149,Lagoa,PT,39.05,-27.9833,69.89,88,100,23.04,overcast clouds
150,East London,ZA,-33.0153,27.9116,72.54,49,0,4.61,clear sky
151,Medicine Hat,CA,50.0501,-110.6683,58.21,56,11,3.0,few clouds
152,Elko,US,41.0002,-115.5012,53.64,30,0,2.75,clear sky
153,Serebryansk,KZ,49.6925,83.2892,47.75,34,47,1.52,scattered clouds
154,Durban,ZA,-29.8579,31.0292,74.93,81,9,4.0,clear sky
155,San Cristobal,VE,7.7669,-72.225,63.84,98,99,4.72,overcast clouds
156,Noumea,NC,-22.2763,166.4572,67.98,73,8,10.74,clear sky
157,Kaitangata,NZ,-46.2817,169.8464,42.15,88,79,11.41,broken clouds
158,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.68,82,100,8.63,overcast clouds
159,Jining,CN,35.405,116.5814,69.01,1,100,10.89,overcast clouds
160,Hillsborough,US,37.5741,-122.3794,63.28,91,20,5.99,mist
161,Margate,GB,51.3813,1.3862,62.96,93,100,7.94,overcast clouds
162,Bengkulu,ID,-3.8004,102.2655,82.38,78,92,3.78,overcast clouds
163,Altay,CN,47.8667,88.1167,48.06,35,39,7.23,scattered clouds
164,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,6.91,scattered clouds
165,Santa Cruz De Tenerife,ES,28.4682,-16.2546,76.69,69,20,1.99,few clouds
166,Caxito,AO,-8.5785,13.6643,77.65,47,10,4.05,clear sky
167,Obo,CF,5.3998,26.4869,73.4,78,98,2.64,overcast clouds
168,Nong Chik,TH,6.8436,101.178,84.94,69,100,6.76,overcast clouds
169,Marsh Harbour,BS,26.5412,-77.0636,81.59,73,79,6.24,broken clouds
170,Portland,US,45.5234,-122.6762,66.2,72,0,1.77,clear sky
171,Maniitsoq,GL,65.4167,-52.9,28.31,57,4,7.05,clear sky
172,Arraial Do Cabo,BR,-22.9661,-42.0278,69.26,79,100,22.82,overcast clouds
173,Inuvik,CA,68.3499,-133.7218,34.81,97,90,11.5,light snow
174,Fujin,CN,47.26,132.0322,58.8,64,100,6.49,overcast clouds
175,Hofn,IS,64.2539,-15.2082,39.42,63,98,15.17,overcast clouds
176,Moratuwa,LK,6.773,79.8816,86.02,76,92,11.34,overcast clouds
177,San Patricio,US,28.017,-97.5169,76.84,65,3,4.79,clear sky
178,Ancud,CL,-41.8697,-73.8203,51.42,87,100,17.72,light rain
179,Bardsir,IR,29.9227,56.5743,83.98,10,0,8.01,clear sky
180,Cerrito,CO,6.8432,-72.694,52.29,93,100,4.07,overcast clouds
181,Point Fortin,TT,10.1833,-61.6833,79.14,81,21,8.05,few clouds
182,Dudinka,RU,69.4058,86.1778,40.77,55,99,3.74,overcast clouds
183,Dunedin,NZ,-45.8742,170.5036,46.8,69,3,1.01,clear sky
184,Sinjai,ID,-5.1241,120.253,80.69,79,86,4.79,overcast clouds
185,Beringovskiy,RU,63.05,179.3167,32.29,70,82,15.26,broken clouds
186,Calolziocorte,IT,45.7954,9.4377,72.7,73,81,4.0,broken clouds
187,Avarua,CK,-21.2078,-159.775,75.25,57,25,8.05,scattered clouds
188,Mahenge,TZ,-8.6833,36.7167,80.04,37,35,5.53,scattered clouds
189,Harper,LR,4.375,-7.7169,80.01,81,87,7.25,light rain
190,Anse-Bertrand,GP,16.4721,-61.5078,76.82,78,10,10.78,clear sky
191,Ilulissat,GL,69.2167,-51.1,6.48,69,65,7.78,broken clouds
192,Kieta,PG,-6.2167,155.6333,79.86,85,69,7.14,light rain
193,Geraldton,AU,-28.7667,114.6,70.21,64,40,11.5,scattered clouds
194,Hilo,US,19.7297,-155.09,72.81,87,90,9.22,moderate rain
195,Hermanus,ZA,-34.4187,19.2345,70.9,53,51,10.07,broken clouds
196,Rundu,NA,-17.9333,19.7667,91.09,12,0,12.77,clear sky
197,Kangaatsiaq,GL,68.3065,-53.4641,26.11,85,99,7.58,overcast clouds
198,Brigantine,US,39.4101,-74.3646,62.01,70,2,8.68,clear sky
199,Mogadishu,SO,2.0371,45.3438,81.0,74,58,15.43,light rain
200,Shenjiamen,CN,29.9576,122.298,75.7,71,87,8.16,overcast clouds
201,Luanda,AO,-8.8368,13.2343,77.0,78,75,5.75,broken clouds
202,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,78,100,12.75,overcast clouds
203,Jiuquan,CN,39.7432,98.5174,66.74,27,76,4.7,broken clouds
204,Staroaleyskoye,RU,51.0061,82.0,49.64,38,99,9.8,overcast clouds
205,Humaita,BR,-7.5061,-63.0208,72.45,92,96,1.45,overcast clouds
206,Tadine,NC,-21.55,167.8833,66.61,69,47,9.62,scattered clouds
207,Garmsar,IR,35.2182,52.3409,94.3,9,0,13.18,clear sky
208,Port Alfred,ZA,-33.5906,26.891,74.32,53,80,10.96,broken clouds
209,Sitka,US,57.0531,-135.33,47.1,83,100,2.93,overcast clouds
210,Opuwo,NA,-18.0607,13.84,89.69,11,0,12.88,clear sky
211,Khatanga,RU,71.9667,102.5,36.03,73,98,10.51,overcast clouds
212,Rocky Mountain House,CA,52.3668,-114.9188,49.84,72,100,3.51,overcast clouds
213,Tual,ID,-5.6667,132.75,80.71,84,57,16.67,broken clouds
214,Hithadhoo,MV,-0.6,73.0833,83.43,72,100,12.55,overcast clouds
215,Sioux Lookout,CA,50.1001,-91.917,46.78,89,100,8.61,overcast clouds
216,Alta Floresta,BR,-9.8756,-56.0861,72.54,69,15,2.98,few clouds
217,Pacific Grove,US,36.6177,-121.9166,60.26,94,64,5.01,broken clouds
218,Sabzevar,IR,36.2126,57.6819,95.52,5,0,8.43,clear sky
219,Upernavik,GL,72.7868,-56.1549,21.0,83,31,5.35,scattered clouds
220,Pires Do Rio,BR,-17.2997,-48.2794,75.6,36,88,3.38,overcast clouds
221,Ormond Beach,US,29.2858,-81.0559,79.02,69,0,9.26,clear sky
222,Uray,RU,60.1247,64.7758,49.82,50,22,9.86,few clouds
223,Mugla,TR,37.2303,28.3557,68.67,17,0,4.59,clear sky
224,Berlevag,NO,70.8578,29.0864,47.08,87,100,9.4,overcast clouds
225,Nangong,CN,37.3581,115.3744,63.12,95,100,7.34,moderate rain
226,Mitu,CO,1.1983,-70.1733,69.17,100,100,1.54,overcast clouds
227,Muramatsu,JP,37.6833,139.1833,69.22,86,12,4.5,few clouds
228,Sayyan,YE,15.1718,44.3244,73.81,12,33,12.93,scattered clouds
229,Norman Wells,CA,65.282,-126.8329,33.84,93,90,11.5,light rain and snow
230,Aleksandrov Gay,RU,50.147,48.5704,61.21,46,79,11.41,broken clouds
231,Waingapu,ID,-9.6567,120.2641,82.71,54,6,13.11,clear sky
232,Ponta Do Sol,PT,32.6667,-17.1,76.01,68,23,2.24,few clouds
233,Saint-Pierre,RE,-21.3393,55.4781,78.48,63,0,31.07,clear sky
234,Ulladulla,AU,-35.35,150.4667,53.87,78,100,6.6,overcast clouds
235,Takaka,NZ,-40.85,172.8,58.96,92,85,10.2,light rain
236,Henties Bay,NA,-22.116,14.2845,54.86,72,5,7.63,clear sky
237,Flinders,AU,-34.5833,150.8552,58.21,69,100,4.0,overcast clouds
238,Cabo San Lucas,MX,22.8909,-109.9124,79.61,84,4,8.23,clear sky
239,Tiznit,MA,29.5833,-9.5,70.7,50,0,2.62,clear sky
240,Chernyshevskiy,RU,63.0128,112.4714,42.78,67,100,7.65,overcast clouds
241,Verrettes,HT,19.05,-72.4667,75.83,89,47,3.94,scattered clouds
242,Saint Anthony,US,45.0205,-93.218,48.25,75,1,5.75,clear sky
243,Tazovskiy,RU,67.4667,78.7,42.37,57,12,7.96,few clouds
244,Hovd,MN,48.0056,91.6419,47.37,34,96,9.69,overcast clouds
245,Paragominas,BR,-2.9667,-47.4833,69.51,99,28,1.72,scattered clouds
246,Kahului,US,20.8947,-156.47,77.85,83,22,7.0,few clouds
247,Egvekinot,RU,66.3167,-179.1667,18.97,77,29,7.72,scattered clouds
248,Matagami,CA,49.7502,-77.6328,42.91,100,1,9.22,clear sky
249,Borogontsy,RU,62.6683,131.1683,37.42,97,100,6.76,overcast clouds
