City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Moroni,KM,81.16,clear sky,-11.7022,43.2551,Hotel les Arcades
149,Lagoa,PT,69.89,overcast clouds,39.05,-27.9833,Casa Das Faias
150,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
154,Durban,ZA,74.93,clear sky,-29.8579,31.0292,Hilton Durban
155,San Cristobal,VE,63.84,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
156,Noumea,NC,67.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
159,Jining,CN,69.01,overcast clouds,35.405,116.5814,Yunhe Star Hotel
160,Hillsborough,US,63.28,mist,37.5741,-122.3794,Hyatt Regency San Francisco Airport
161,Margate,GB,62.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
162,Bengkulu,ID,82.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
165,Santa Cruz De Tenerife,ES,76.69,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
168,Nong Chik,TH,84.94,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
169,Marsh Harbour,BS,81.59,broken clouds,26.5412,-77.0636,Abaco Beach Resort
170,Portland,US,66.2,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
172,Arraial Do Cabo,BR,69.26,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
176,Moratuwa,LK,86.02,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
177,San Patricio,US,76.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
179,Bardsir,IR,83.98,clear sky,29.9227,56.5743,هتل سجاد
181,Point Fortin,TT,79.14,few clouds,10.1833,-61.6833,Jus Les' Suites
184,Sinjai,ID,80.69,overcast clouds,-5.1241,120.253,Wisma Sandika
186,Calolziocorte,IT,72.7,broken clouds,45.7954,9.4377,Osteria Marascia
187,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
188,Mahenge,TZ,80.04,scattered clouds,-8.6833,36.7167,Mkondosii Guest House
189,Harper,LR,80.01,light rain,4.375,-7.7169,Screensaver
190,Anse-Bertrand,GP,76.82,clear sky,16.4721,-61.5078,Le Domharry
192,Kieta,PG,79.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
193,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
194,Hilo,US,72.81,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
195,Hermanus,ZA,70.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
198,Brigantine,US,62.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
199,Mogadishu,SO,81.0,light rain,2.0371,45.3438,Hotel Juba
200,Shenjiamen,CN,75.7,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
201,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
202,Vila Franca Do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
203,Jiuquan,CN,66.74,broken clouds,39.7432,98.5174,Jiuquan Hotel
205,Humaita,BR,72.45,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
